aiw	Aari
lrm	Marama
myd	Maramba
mrw	Maranao
zmr	Maranunggu
mgb	Mararit
mar	Marathi
mvr	Marau
mpg	Marba
mrx	Maremgi
vmr	Marenje
mvu	Marfa
zmc	Margany
mfm	Marghi South
mrt	Marghi Central
qvm	Margos-Yarowilca-Lauricocha Quechua
mhg	Margu
chm	Mari (Russia)
hob	Mari (Madang Province)
mbx	Mari (East Sepik Province)
mds	Maria (Papua New Guinea)
mrr	Maria (India)
mrc	Maricopa
zmd	Maridan
zmj	Maridjabin
dad	Marik
zmm	Marimanindji
mrz	Marind
mbw	Maring
nng	Maring Naga
zmt	Maringarr
mrb	Marino
mqi	Mariri
mfr	Marithiel
nsr	Maritime Sign Language
msp	Maritsauá
zmy	Mariyedi
rkm	Marka
enb	Markweeta
rmz	Marma
mvo	Marovo
xru	Marriammu
umc	Marrucinian
mah	Marshallese
ims	Marsian
mre	Martha's Vineyard Sign Language
zmg	Marti Ke
mpj	Martu Wangka
vma	Martuyhunira
mhx	Maru
mzr	Marúbo
mve	Marwari (Pakistan)
mwr	Marwari
rwr	Marwari (India)
myx	Masaaba
tis	Masadiit Itneg
mas	Masai
mls	Masalit
mcn	Masana
msb	Masbatenyo
cuj	Mashco Piro
jms	Mashi (Nigeria)
mho	Mashi (Zambia)
msh	Masikoro Malagasy
ism	Masimasi
bnf	Masiwang
klv	Maskelynes
msv	Maslam
mes	Masmaje
mdg	Massalat
mvs	Massep
mtn	Matagalpa
mfh	Matal
xmt	Matbat
mgv	Matengo
mqe	Matepi
mbt	Matigsalug Manobo
mzo	Matipuhy
mpq	Matís
axg	Mato Grosso Arára
met	Mato
mtm	Mator
mcf	Matsés
mvb	Mattole
hlt	Matu Chin
mjk	Matukar
mgw	Matumbi
stj	Matya Samo
mph	Maung
lsy	Mauritian Sign Language
mhl	Mauwake
mcw	Mawa (Chad)
wma	Mawa (Nigeria)
mjj	Mawak
mcz	Mawan
mzx	Mawayana
mke	Mawchi
mgk	Mawes
mbl	Maxakalí
mxl	Maxi Gbe
sym	Maya Samo
slz	Ma'ya
xmy	Mayaguduna
yan	Mayangna
yxa	Mayawali
myc	Mayeka
xyk	Mayi-Kulan
xyt	Mayi-Thakurti
xyj	Mayi-Yapi
mfy	Mayo
mdm	Mayogo
ifu	Mayoyao Ifugao
dkx	Mazagway
zpy	Mazaltepec Zapotec
mzn	Mazanderani
mzl	Mazatlán Mixe
vmz	Mazatlán Mazatec
mfc	Mba
mdp	Mbala
lnb	Mbalanhu
zmz	Mbandja
mxg	Mbangala
mgn	Mbangi
zmn	Mbangwe
mpk	Mbara (Chad)
mvl	Mbara (Australia)
zmv	Mbariman-Gudhinma
mdn	Mbati
gwa	Mbato
myb	Mbay
mfo	Mbe
mtk	Mbe'
mql	Mbelime
mdt	Mbere
zms	Mbesa
mbo	Mbo (Cameroon)
zmw	Mbo (Democratic Republic of Congo)
moi	Mboi
mdu	Mboko
mdq	Mbole
xmb	Mbonga
bgu	Mbongno
mdw	Mbosi
mxo	Mbowe
mka	Mbre
xmd	Mbudum
mhd	Mbugu
mgz	Mbugwe
mqb	Mbuko
mhw	Mbukushu
mna	Mbula
mbu	Mbula-Bwazza
mlb	Mbule
mbv	Mbulungish
mdd	Mbum
mck	Mbunda
mgy	Mbunga
bbt	Mburku
mfu	Mbwela
gun	Mbyá Guaraní
mjm	Medebur
mue	Media Lengua
mwx	Mediak
xme	Median
mud	Mednyj Aleut
byv	Medumba
mym	Me'en
mfj	Mefele
mef	Megam
ruq	Megleno Romanian
nux	Mehek
mmh	Mehináku
gdq	Mehri
mek	Mekeo
mvk	Mekmek
msf	Mekwei
mxe	Mele-Fila
mfx	Melo
med	Melpa
mby	Memoni
xkd	Mendalam Kayan
mfd	Mendankwe-Nkwen
men	Mende (Sierra Leone)
sim	Mende (Papua New Guinea)
xmg	Mengaka
mee	Mengen
mct	Mengisa
tnr	Ménik
mea	Menka
mez	Menominee
mwv	Mentawai
mcr	Menya
mvx	Meoswar
mnu	Mer
mxm	Meramera
lmb	Merei
meq	Merey
ulk	Meriam
mrm	Merlav
xmr	Meroitic
mer	Meru
wry	Merwari
iyo	Mesaka
apm	Mescalero-Chiricahua Apache
mci	Mese
sac	Meskwaki
zim	Mesme
mys	Mesmes
acm	Mesopotamian Arabic
mvz	Mesqan
cms	Messapic
mgo	Meta'
mxv	Metlatónoc Mixtec
mtr	Mewari
wtm	Mewati
mfs	Mexican Sign Language
mej	Meyah
pbe	Mezontla Popoloca
ote	Mezquital Otomi
zmf	Mfinu
nfu	Mfumte
gmz	Mgbolizhia
zam	Miahuatlán Zapotec
mia	Miami
mpt	Mian
pla	Miani
crg	Michif
cmm	Michigamea
mmc	Michoacán Mazahua
ncl	Michoacán Nahuatl
dnt	Mid Grand Valley Dani
axm	Middle Armenian
cnx	Middle Cornish
dum	Middle Dutch (ca. 1050-1350)
enm	Middle English (1100-1500)
frm	Middle French (ca. 1400-1600)
gmh	Middle High German (ca. 1050-1500)
gml	Middle Low German
htx	Middle Hittite
mga	Middle Irish (900-1200)
mpl	Middle Watut
nwx	Middle Newar
okm	Middle Korean (10th-16th cent.)
wlm	Middle Welsh
xbm	Middle Breton
xng	Middle Mongolian
mei	Midob
bjo	Mid-Southern Banda
mmy	Migaama
mpp	Migabac
klm	Migum
mxj	Miju-Mishmi
mik	Mikasuki
mic	Mi'kmaq
ymh	Mili
mlj	Miltu
iml	Miluk
imy	Milyan
cdo	Min Dong Chinese
czo	Min Zhong Chinese
mnp	Min Bei Chinese
nan	Min Nan Chinese
hna	Mina (Cameroon)
myi	Mina (India)
inm	Minaean
xrg	Minang
min	Minangkabau
mcv	Minanibai
mvn	Minaveha
drc	Minderico
mpn	Mindiri
mko	Mingang Doso
xmf	Mingrelian
hto	Minica Huitoto
wii	Minidien
xjb	Minjungbal
xxm	Minkin
omn	Minoan
mqq	Minokok
mnq	Minriq
mzt	Mintil
zgm	Minz Zhuang
yiq	Miqie
mwl	Mirandese
rbl	Miraya Bikol
zrg	Mirgan
mmv	Miriti
rsm	Miriwoong Sign Language
mep	Miriwung
mjs	Miship
mpx	Misima-Panaeati
mrg	Mising
miq	Mískito
zaw	Mitla Zapotec
vmm	Mitlatongo Mixtec
mwu	Mittu
zmq	Mituku
mpo	Miu
vmi	Miwa
gac	Mixed Great Andamanese
mix	Mixtepec Mixtec
zpm	Mixtepec Zapotec
mkf	Miya
mvi	Miyako
soy	Miyobe
mra	Mlabri
lhs	Mlahsö
kja	Mlap
mlo	Mlomp
mmu	Mmaala
bfm	Mmen
obm	Moabite
mfq	Moba
mod	Mobilian
ahm	Mobumrin Aizi
jkm	Mobwa Karen
mhn	Mócheno
old	Mochi
omc	Mochica
mhc	Mocho
moc	Mocoví
gbn	Mo'da
mxd	Modang
ell	Modern Greek (1453-)
mqo	Modole
mvq	Moere
mif	Mofu-Gudur
mhj	Mogholi
mfg	Mogofin
mou	Mogum
mov	Mohave
moh	Mohawk
xpq	Mohegan-Pequot
mow	Moi (Congo)
mxn	Moi (Indonesia)
mkp	Moikodi
mwz	Moingi
ymi	Moji
mqt	Mok
mwt	Moken
mft	Mokerang
mkj	Mokilese
mkm	Moklen
mkl	Mokole
bri	Mokpwe
vms	Moksela
mdf	Moksha
mbe	Molale
pwm	Molbog
vsi	Moldova Sign Language
bxc	Molengue
mox	Molima
aun	Molmo One
zmo	Molo
msl	Molof
mlw	Moloko
ver	Mom Jango
myl	Moma
msz	Momare
dmb	Mombo Dogon
mso	Mombum
mmb	Momina
mqf	Momuna
mnw	Mon
mzg	Monastic Sign Language
mnd	Mondé
npn	Mondropolon
lol	Mongo
mgt	Mongol
bxm	Mongolia Buriat
mon	Mongolian
msr	Mongolian Sign Language
mog	Mongondow
mnz	Moni
mnh	Mono (Democratic Republic of Congo)
mnr	Mono (USA)
mru	Mono (Cameroon)
mte	Mono (Solomon Islands)
moo	Monom
nmh	Monsang Naga
moe	Montagnais
mtl	Montol
mxk	Monumbo
moj	Monzombo
gwg	Moo
crm	Moose Cree
mop	Mopán Maya
mhz	Mor (Mor Islands)
moq	Mor (Bomberai Peninsula)
msg	Moraid
mze	Morawa
nhm	Morelos Nahuatl
xmo	Morerebi
msx	Moresada
mzq	Mori Atas
xmz	Mori Bawah
mdb	Morigi
mfe	Morisyen
mor	Moro
ary	Moroccan Arabic
xms	Moroccan Sign Language
mgc	Morokodo
bdo	Morom
mqn	Moronene
mok	Morori
mrp	Morouas
mrl	Mortlockese
mgd	Moru
mqv	Mosimo
mwy	Mosiro
mtj	Moskona
mos	Mossi
mtt	Mota
mlv	Motlav
meu	Motu
mwh	Mouk-Aria
kpx	Mountain Koiali
jmw	Mouwase
mzp	Movima
ity	Moyadan Itneg
nmo	Moyon Naga
mzy	Mozambican Sign Language
mxi	Mozarabic
mpi	Mpade
xpj	Mpalitjanh
mpz	Mpi
mcx	Mpiemo
mpa	Mpoto
mvt	Mpotovoro
mgg	Mpumpong
zmp	Mpuono
akc	Mpur
cmr	Mro-Khimi Chin
mro	Mru
kqx	Mser
agz	Mt. Iriga Agta
atl	Mt. Iraya Agta
ukk	Muak Sa-aak
mtd	Mualang
tsx	Mubami
mub	Mubi
ymd	Muda
dmw	Mudburra
gau	Mudhili Gadaba
vmd	Mudu Koraga
udg	Muduga
aoj	Mufian
muk	Mugom
bmr	Muinane
mmk	Mukha-Dora
moz	Mukulu
mfw	Mulaha
mlm	Mulam
giu	Mulao
mvh	Mulgi
kpb	Mullu Kurumba
mpb	Mullukmulluk
mul	Multiple languages
vmu	Muluridyi
kqa	Mum
mzm	Mumuye
mwq	Mün Chin
mnb	Muna
unx	Munda
boe	Mundabli
mua	Mundang
mnf	Mundani
unr	Mundari
mmf	Mundat
muh	Mündü
myu	Mundurukú
mhk	Mungaka
mth	Munggui
mpv	Mungkip
myr	Muniche
mtc	Munit
mnj	Munji
umu	Munsee
mtq	Muong
tkv	Mur Pano
asx	Muratayak
mtf	Murik (Papua New Guinea)
mxr	Murik (Malaysia)
rmh	Murkim
mur	Murle
mwf	Murrinh-Patha
muz	Mursi
huu	Murui Huitoto
mqw	Murupi
zmu	Muruwari
mmq	Musak
mmi	Musar
smm	Musasa
mse	Musey
mug	Musgu
xma	Mushungulu
mui	Musi
mje	Muskum
ttt	Muslim Tat
msu	Musom
emi	Mussau-Emira
muv	Muthuvan
tuc	Mutu
mvm	Muya
muy	Muyang
myw	Muyuw
ymz	Muzi
mcj	Mvanip
mxh	Mvuba
sur	Mwaghavul
wlc	Mwali Comorian
moa	Mwan
wmw	Mwani
mwa	Mwatebu
mjh	Mwera (Nyasa)
mwe	Mwera (Chimwera)
mws	Mwimbi-Muthambi
gmy	Mycenaean Greek
mye	Myene
yms	Mysian
nme	Mzieme Naga
nbt	Na
nao	Naaba
bzv	Naami
nas	Naasioi
mne	Naba
naf	Nabak
mty	Nabi
ncd	Nachering
mbj	Nadëb
ndf	Nadruvian
nfr	Nafaanra
srf	Nafi
nxx	Nafri
jbn	Nafusi
nag	Naga Pidgin
nbg	Nagarchal
nxe	Nage
ngv	Nagumi
nlx	Nahali
nhh	Nahari
bio	Nai
ars	Najdi Arabic
nae	Naka'ela
nkj	Nakai
nib	Nakame
nak	Nakanai
nck	Nakara
nbk	Nake
mff	Naki
nax	Nakwi
nlc	Nalca
nss	Nali
nal	Nalik
nlz	Nalögo
naj	Nalu
ylo	Naluo Yi
nmx	Nama (Papua New Guinea)
nmk	Namakura
nkm	Namat
ncm	Nambo
nmq	Nambya
neo	Ná-Meo
nnm	Namia
nvm	Namiae
nbs	Namibian Sign Language
naa	Namla
mxw	Namo
nmt	Namonuito
bwb	Namosi-Naitasiri-Serua
nmy	Namuyi
gld	Nanai
nnc	Nancere
nnb	Nande
niq	Nandi
sen	Nanerigé Sénoufo
nzz	Nanga Dama Dogon
nnk	Nankina
cox	Nanti
nnt	Nanticoke
afk	Nanubae
qvo	Napo Lowland Quechua
npy	Napu
npa	Nar Phu
nrb	Nara
nac	Narak
nrg	Narango
nxu	Narau
rnr	Nari Nari
loh	Narim
nhr	Naro
nrm	Narom
xnt	Narragansett
nay	Narrinyeri
nru	Narua
nnr	Narungga
nsy	Nasal
nvh	Nasarian
nsk	Naskapi
ntz	Natanzi
ais	Nataoran Amis
ncz	Natchez
ntm	Nateni
nte	Nathembo
nti	Natioro
ntu	Natügu
nxa	Nauete
ynk	Naukan Yupik
ncn	Nauna
nwo	Nauo
nau	Nauru
nav	Navajo
nsw	Navut
nwr	Nawaru
nwa	Nawathinehena
nmz	Nawdm
naw	Nawuri
nxq	Naxi
noz	Nayi
nyq	Nayini
ncr	Ncane
nlu	Nchumbulu
gke	Ndai
ndk	Ndaka
ncp	Ndaktup
ndh	Ndali
ndm	Ndam
ndj	Ndamba
nxo	Ndambomo
nnz	Nda'nda'
nda	Ndasa
ndc	Ndau
ned	Nde-Gbite
nml	Ndemli
dne	Ndendeule
ndg	Ndengereko
ndd	Nde-Nsele-Nta
eli	Nding
ndp	Ndo
ndw	Ndobo
nbb	Ndoe
ndz	Ndogo
ndl	Ndolo
nqm	Ndom
ndq	Ndombe
njd	Ndonde Hamba
ndo	Ndonga
ndr	Ndoola
dgt	Ndra'ngith
ndx	Nduga
nmd	Ndumu
nuh	Ndunda
ndt	Ndunga
ndv	Ndut
njt	Ndyuka-Trio Pidgin
wni	Ndzwani Comorian
nap	Neapolitan
nec	Nedebang
nef	Nefamese
dcr	Negerhollands
zmi	Negeri Sembilan Malay
neg	Negidal
nsn	Nehan
nif	Nek
nkg	Nekgini
nej	Neko
nek	Neku
nee	Nêlêmwa-Nixumwak
gsn	Nema
nex	Neme
nem	Nemi
nqn	Nen
anh	Nend
yrk	Nenets
nen	Nengone
neu	Neo
nei	Neo-Hittite
nsp	Nepalese Sign Language
kxl	Nepali Kurux
nep	Nepali (macrolanguage)
npi	Nepali (individual language)
net	Nete
jas	New Caledonian Javanese
nzs	New Zealand Sign Language
new	Newari
ney	Neyo
nez	Nez Perce
ntj	Ngaanyatjarra
gym	Ngäbere
nxg	Ngad'a
nju	Ngadjunmaya
jui	Ngadjuri
nnf	Ngaing
nij	Ngaju
nud	Ngala
nig	Ngalakan
szb	Ngalum
nmc	Ngam
nbv	Ngamambo
sba	Ngambay
nmv	Ngamini
nbh	Ngamo
xnk	Nganakarti
nio	Nganasan
nid	Ngandi
ngd	Ngando (Central African Republic)
nxd	Ngando (Democratic Republic of Congo)
nne	Ngandyera
gng	Ngangam
nam	Ngan'gityemerri
ntg	Ngantangarra
nyx	Nganyaywana
rxd	Ngardi
xni	Ngarigu
nbj	Ngarinman
ung	Ngarinyin
nrk	Ngarla
nrl	Ngarluma
anc	Ngas
nsg	Ngasa
ngm	Ngatik Men's Creole
cnw	Ngawn Chin
nxn	Ngawun
nwg	Ngayawung
zdj	Ngazidja Comorian
nbm	Ngbaka Ma'bo
nga	Ngbaka
ngg	Ngbaka Manza
jgb	Ngbee
nbd	Ngbinda
nuu	Ngbundu
agh	Ngelima
nge	Ngemba
nql	Ngendelengo
nnn	Ngete
nbq	Nggem
ngx	Nggwahyi
ngj	Ngie
nnh	Ngiemboon
jle	Ngile
nnq	Ngindo
niy	Ngiti
ngi	Ngizim
kcd	Ngkâlmpw Kanum
nra	Ngom
jgo	Ngomba
nla	Ngombale
ngc	Ngombe (Democratic Republic of Congo)
nmj	Ngombe (Central African Republic)
noq	Ngongo
ngo	Ngoni
nsh	Ngoshie
nlo	Ngul
ngp	Ngulu
nuw	Nguluwan
nui	Ngumbi
xul	Ngunawal
ndn	Ngundi
nue	Ngundu
ngz	Ngungwel
nuo	Nguôn
ngq	Ngurimi
nrx	Ngurmbur
ngw	Ngwaba
nwe	Ngwe
ngn	Ngwo
nha	Nhanda
yrl	Nhengatu
hrp	Nhirrpi
nhf	Nhuwala
nia	Nias
bzk	Nicaragua Creole English
ncs	Nicaraguan Sign Language
nie	Niellim
mzk	Nigeria Mambila
fuv	Nigerian Fulfulde
nsi	Nigerian Sign Language
pcm	Nigerian Pidgin
nll	Nihali
nii	Nii
gbe	Niksek
nil	Nila
nim	Nilamba
noe	Nimadi
nmp	Nimanbur
nmr	Nimbari
nir	Nimboran
nis	Nimi
niw	Nimo
nmw	Nimoa
shb	Ninam
nxi	Nindi
nby	Ningera
nxr	Ninggerum
niz	Ningil
nns	Ningye
nlk	Ninia Yali
nin	Ninzo
nps	Nipsan
njs	Nisa
nsz	Nisenan
ncg	Nisga'a
yso	Nisi (China)
num	Niuafo'ou
nkp	Niuatoputapu
niu	Niuean
cag	Nivaclé
hrc	Niwer Mil
njl	Njalgulgule
nzb	Njebi
njj	Njen
njr	Njerep
njy	Njyem
nkq	Nkami
nkn	Nkangala
nkz	Nkari
isi	Nkem-Nkum
khu	Nkhumbi
nqo	N'Ko
nkc	Nkongho
nko	Nkonya
nkx	Nkoroo
nka	Nkoya
nbo	Nkukoli
nkw	Nkutu
nbp	Nnam
zxx	No linguistic content
fia	Nobiin
gaw	Nobonob
nom	Nocamán
njb	Nocte Naga
nog	Nogai
npx	Noipx
noi	Noiri
nkk	Nokuku
lem	Nomaande
nof	Nomane
not	Nomatsiguenga
nol	Nomlaki
noh	Nomu
zhn	Nong Zhuang
noj	Nonuya
nok	Nooksack
snf	Noon
nhu	Noone
cya	Nopala Chatino
nrc	Noric
nrn	Norn
nrr	Norra
apc	North Levantine Arabic
ayp	North Mesopotamian Arabic
azj	North Azerbaijani
bcd	North Babar
esi	North Alaskan Inupiatun
fll	North Fali
gis	North Giziga
kti	North Muyu
llp	North Efate
max	North Moluccan Malay
mfk	North Mofu
mmg	North Ambrym
mrq	North Marquesan
nde	North Ndebele
neq	North Central Mixe
nks	North Asmat
nni	North Nuaulu
nrp	North Picene
qul	North Bolivian Quechua
qvn	North Junín Quechua
scs	North Slavey
tbg	North Tairora
tnn	North Tanna
una	North Watut
whg	North Wahgi
yir	North Awyu
aee	Northeast Pashai
kiw	Northeast Kiwai
nmu	Northeast Maidu
dip	Northeastern Dinka
pef	Northeastern Pomo
tts	Northeastern Thai
aqn	Northern Alta
atv	Northern Altai
bbo	Northern Bobo Madaré
bks	Northern Sorsoganon
bmm	Northern Betsimisaraka Malagasy
cng	Northern Qiang
crl	Northern East Cree
cst	Northern Ohlone
cts	Northern Catanduanes Bikol
dgi	Northern Dagara
doc	Northern Dong
emp	Northern Emberá
frr	Northern Frisian
gbo	Northern Grebo
ghh	Northern Ghale
gno	Northern Gondi
hdn	Northern Haida
hea	Northern Qiandong Miao
hmi	Northern Huishui Hmong
hmp	Northern Mashan Hmong
hno	Northern Hindko
huj	Northern Guiyang Hmong
kmr	Northern Kurdish
kqs	Northern Kissi
kxm	Northern Khmer
kyn	Northern Binukidnon
lrc	Northern Luri
ncj	Northern Puebla Nahuatl
ncq	Northern Katang
ngb	Northern Ngbandi
nhy	Northern Oaxaca Nahuatl
nnl	Northern Rengma Naga
nod	Northern Thai
nrt	Northern Kalapuya
nsq	Northern Sierra Miwok
ntd	Northern Tidung
ntp	Northern Tepehuan
nuv	Northern Nuni
onr	Northern One
pao	Northern Paiute
pbu	Northern Pashto
pej	Northern Pomo
pmi	Northern Pumi
pmq	Northern Pame
qvz	Northern Pastaza Quichua
qxn	Northern Conchucos Ancash Quechua
rbk	Northern Bontok
rog	Northern Roglai
ryn	Northern Amami-Oshima
sme	Northern Sami
stb	Northern Subanen
thh	Northern Tarahumara
tji	Northern Tujia
tsp	Northern Toussian
ttm	Northern Tutchone
twf	Northern Tiwa
uzn	Northern Uzbek
xkb	Northern Nago
xnn	Northern Kankanay
xtn	Northern Tlaxiaco Mixtec
yiv	Northern Nisu
ykg	Northern Yukaghir
ymx	Northern Muji
esk	Northwest Alaska Inupiatun
glh	Northwest Pashai
gya	Northwest Gbaya
mjd	Northwest Maidu
mxa	Northwest Oaxaca Mixtec
diw	Northwestern Dinka
faz	Northwestern Fars
kfb	Northwestern Kolami
nsf	Northwestern Nisu
ojb	Northwestern Ojibwa
tmk	Northwestern Tamang
nno	Norwegian Nynorsk
nob	Norwegian Bokmål
nor	Norwegian
nsl	Norwegian Sign Language
bly	Notre
ncf	Notsi
ntw	Nottoway
nwy	Nottoway-Meherrin
nov	Novial
noy	Noy
nse	Nsenga
nsc	Nshi
nsx	Nsongo
bud	Ntcham
nto	Ntomba
ngh	N/u
baf	Nubaca
kcn	Nubi
kte	Nubri
nus	Nuer
nnv	Nugunu (Australia)
yas	Nugunu (Cameroon)
noc	Nuk
mbr	Nukak Makú
klt	Nukna
nuc	Nukuini
nuq	Nukumanu
xnu	Nukunul
nkr	Nukuoro
nur	Nukuria
nbr	Numana-Nunku-Gbantu-Numbu
nop	Numanggang
sij	Numbami
tgs	Nume
kdk	Numèè
nxm	Numidian
nut	Nung (Viet Nam)
nug	Nungali
nuy	Nunggubuyu
rin	Nungu
npb	Nupbikha
nup	Nupe-Nupe-Tako
hux	Nüpode Huitoto
nul	Nusa Laut
nuf	Nusu
nuk	Nuu-chah-nulth
nwb	Nyabwa
nev	Nyaheun
cbn	Nyahkur
nyy	Nyakyusa-Ngonde
yly	Nyâlayu
nlj	Nyali
nmi	Nyam
nly	Nyamal
now	Nyambo
nwm	Nyamusa-Molo
mwn	Nyamwanga
nym	Nyamwezi
nyk	Nyaneka
nyj	Nyanga
nyc	Nyanga-li
nnj	Nyangatom
nyb	Nyangbo
nny	Nyangga
nyp	Nyang'i
nna	Nyangumarta
nya	Nyanja
nyn	Nyankole
yes	Nyankpa
sev	Nyarafolo Senoufo
rim	Nyaturu
nyw	Nyaw
nyt	Nyawaygi
nba	Nyemba
nye	Nyengo
neh	Nyenkha
nyl	Nyeu
nyh	Nyigina
nih	Nyiha (Tanzania)
nyr	Nyiha (Malawi)
nkt	Nyika (Tanzania)
nkv	Nyika (Malawi and Zambia)
lid	Nyindrou
nyg	Nyindu
njz	Nyishi
xny	Nyiyaparli
nvo	Nyokon
nuj	Nyole
muo	Nyong
nyd	Nyore
nyo	Nyoro
nyv	Nyulnyul
nys	Nyunga
nyu	Nyungwe
nzy	Nzakambay
nzk	Nzakara
nja	Nzanyi
nzi	Nzima
bzy	Obanliku
obi	Obispeño
obl	Oblo
obo	Obo Manobo
afz	Obokuitai
ann	Obolo
obu	Obulom
oca	Ocaina
oci	Occitan (post 1500)
xoc	O'chi'chi'
mie	Ocotepec Mixtec
zac	Ocotlán Zapotec
odk	Od
ory	Odia
bhf	Odiai
kkc	Odoodee
tyh	O'du
odu	Odual
oda	Odut
opy	Ofayé
arc	Official Aramaic (700-300 BCE)
ofo	Ofo
ogc	Ogbah
ogb	Ogbia
ogg	Ogbogolo
ogu	Ogbronuagum
eri	Ogea
oia	Oirata
oji	Ojibwa
chj	Ojitlán Chinantec
oka	Okanagan
oki	Okiek
okn	Oki-No-Erabu
okb	Okobo
okd	Okodia
oks	Oko-Eni-Osayen
okj	Oko-Juwoi
kqv	Okolod
opa	Okpamheri
oke	Okpe (Southwestern Edo)
okx	Okpe (Northwestern Edo)
opm	Oksapmin
oku	Oku
ang	Old English (ca. 450-1100)
fro	Old French (842-ca. 1400)
goh	Old High German (ca. 750-1050)
non	Old Norse
oar	Old Aramaic (up to 700 BCE)
oav	Old Avar
obr	Old Burmese
obt	Old Breton
och	Old Chinese
oco	Old Cornish
odt	Old Dutch
ofs	Old Frisian
oge	Old Georgian
oht	Old Hittite
ohu	Old Hungarian
ojp	Old Japanese
okl	Old Kentish Sign Language
oko	Old Korean (3rd-9th cent.)
olt	Old Lithuanian
omp	Old Manipuri
omr	Old Marathi
omx	Old Mon
onw	Old Nubian
oos	Old Ossetic
orv	Old Russian
osp	Old Spanish
osx	Old Saxon
otb	Old Tibetan
otk	Old Turkish
oty	Old Tamil
oui	Old Uighur
owl	Old Welsh
peo	Old Persian (ca. 600-400 B.C.)
pro	Old Provençal (to 1500)
sga	Old Irish (to 900)
ole	Olekha
olk	Olkol
ong	Olo
olm	Oloma
olr	Olrat
lul	Olu'bo
iko	Olulumo-Ikom
plo	Oluta Popoluca
omg	Omagua
oma	Omaha-Ponca
acx	Omani Arabic
mbm	Ombamba
oml	Ombo
nht	Ometepec Nahuatl
omi	Omi
aom	Ömie
omk	Omok
omt	Omotik
omu	Omurano
ona	Ona
one	Oneida
oog	Ong
oon	Önge
oni	Onin
onx	Onin Based Pidgin
onj	Onjob
ons	Ono
onn	Onobasulu
ono	Onondaga
ont	Ontenu
ojv	Ontong Java
oor	Oorlams
opo	Opao
opt	Opata
orn	Orang Kanaq
ors	Orang Seletar
sdr	Oraon Sadri
ore	Orejón
org	Oring
ori	Oriya (macrolanguage)
nlv	Orizaba Nahuatl
orc	Orma
orz	Ormu
oru	Ormuri
orw	Oro Win
orx	Oro
oac	Oroch
ora	Oroha
oaa	Orok
okv	Orokaiva
bdu	Oroko
oro	Orokolo
orm	Oromo
orh	Oroqen
bpk	Orowe
orr	Oruma
ury	Orya
osa	Osage
ost	Osatu
osc	Oscan
osi	Osing
oso	Ososo
oss	Ossetian
otd	Ot Danum
uta	Otank
oti	Oti
otr	Otoro
otw	Ottawa
ota	Ottoman Turkish (1500-1928)
lot	Otuho
otu	Otuke
oum	Ouma
oue	Oune
stn	Owa
wsr	Owenia
owi	Owiniga
oyb	Oy
oyy	Oya'oya
oyd	Oyda
zao	Ozolotepec Zapotec
chz	Ozumacín Chinantec
pdi	Pa Di
pqa	Pa'a
pfa	Pááfang
drl	Paakantyi
pma	Paama
sig	Paasaal
pcp	Pacahuara
qvp	Pacaraos Quechua
ems	Pacific Gulf Yupik
pac	Pacoh
pdo	Padoe
pkc	Paekche
pgn	Paelignian
pbb	Páez
pgi	Pagi
pae	Pagibete
pgu	Pagu
apf	Pahanan Agta
phr	Pahari-Potwari
lgt	Pahi
phv	Pahlavani
pal	Pahlavi
pha	Pa-Hng
pta	Pai Tavytera
pri	Paicî
ppi	Paipai
pck	Paite Chin
pwn	Paiwan
pav	Pakaásnovos
pkn	Pakanha
pks	Pakistan Sign Language
pkg	Pak-Tong
jkp	Paku Karen
pku	Paku
abw	Pal
plq	Palaic
plr	Palaka Senoufo
cpa	Palantla Chinantec
pau	Palauan
pnl	Paleni
pln	Palenquero
pli	Pali
plu	Palikúr
pcf	Paliyan
pmd	Pallanganmiddang
fap	Palor
plp	Palpa
plz	Paluan
ple	Palu'e
bpx	Palya Bareli
pmn	Pam
pmb	Pambia
pmk	Pamlico
pmf	Pamona
hih	Pamosu
pam	Pampanga
att	Pamplona Atta
pnq	Pana (Burkina Faso)
pnz	Pana (Central African Republic)
lsp	Panamanian Sign Language
par	Panamint
qxh	Panao Huánuco Quechua
kre	Panará
psn	Panasuan
pwb	Panawa
pnp	Pancana
tdb	Panchpargania
bkj	Pande
pag	Pangasinan
pgs	Pangseng
slm	Pangutaran Sama
pbr	Pangwa
pgg	Pangwali
pnr	Panim
pcg	Paniya
pan	Panjabi
pax	Pankararé
paz	Pankararú
pkh	Pankhu
pnc	Pannei
mqz	Pano
knt	Panoan Katukína
pno	Panobo
bfc	Panyi Bai
pnw	Panytyima
blk	Pa'o Karen
top	Papantla Totonac
ppn	Papapana
dpp	Papar
pas	Papasena
pbo	Papel
ppe	Papi
pap	Papiamento
pat	Papitalai
ppu	Papora
pgz	Papua New Guinean Sign Language
pmy	Papuan Malay
ppm	Papuma
pzn	Para Naga
aap	Pará Arára
gvp	Pará Gavião
prc	Parachi
gug	Paraguayan Guaraní
pys	Paraguayan Sign Language
pak	Parakanã
prf	Paranan
paf	Paranawát
pbg	Paraujano
prk	Parauk
prw	Parawen
pch	Pardhan
pcl	Pardhi
ppt	Pare
pab	Parecís
pcj	Parenga
lkr	Päri
kvx	Parkari Koli
pbi	Parkwa
prp	Parsi
prd	Parsi-Dari
xpr	Parthian
paq	Parya
